park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Enderby Cliffs Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.5,2422,2324,3619,5075,2425.5,1802.5,437.5,0,0,0,0,1949.5,2814,3692.5,5607,5498.5,4354,2229.5,0,0,0,0,0,2614.5,6548.5,4763.5,3059,3787,3496.5,3094,1130.5,0,0,0,0,5061,6541.5,4574.5,7868,6237,6156.5,4480,0,0,0,0,0,2261,5299,6006,5397,5631.5,5572,4280.5,0,0,0,0,0,1743,4809,4777.5,5442.5,2733.5,5075,3951.5,0,0,0,0,0,3024,3447.5,4210.5,4287.5,5736.5,2667,4235,0,0
Englishman River Falls Park,west,4301.5,3780,6594,8372,12544,13016.5,24325,29844.5,13226.5,8750,5764.5,5642,2999.5,4732,6202,10881.5,9992.5,13758.5,24839.5,23758,17552.5,9163,5642,6230,5369,6762,8606.5,9660,13380.5,13937,24587.5,26621,15837.5,6951,8162,6009.5,6251,6902,10773,8995,11781,18095,20090,28647.5,14763,9110.5,5215,4823,6748,4063.5,9810.5,18914,10451,16023,6636,29820,17472,5649,7511,10507,7381.5,11483.5,10661,19253.5,14602,12509,28217,32581.5,17717,7434,9198,10759,8407,11966.5,17178,12463.5,17048.5,18396,32217.5,38143,20580,12260.5,10983,2166.5,5001.5,4984,14945,13188,22438.5,22424.5,39308.5,40929,24486,15456,10164,8386,7679,8907.5,18469.5,14787.5,22459.5,21189,14042,14892.5,9782.5,14406,10003,7104,6779.5,2996,15781.5,16054.5,23072,24213,34447,11133.5,10510.5,13524,9765,0
Eskers Park,north,329,735,1246,0,1662.5,1536.5,1816.5,903,1029,868,402.5,630,490,280,987,0,1155,1365,1487.5,1302,1575,875,735,1092,595,693,724.5,1144.5,1183,1470,1519,1540,1207.5,892.5,595,910,581,385,847,1050,1393,1435,1820,1393,1435,822.5,651,595,791,770,1134,1137.5,1400,1575,1767.5,1512,1400,1141,791,693,700,630,861,1050,1365,1610,1820,1400,1253,1050,721,644,745.5,700,997.5,717.5,1260,1400,1435,1505,1400,1085,651,700,630,630,735,1015,1435,1463,1785,1820,1666,1260,735,700,910,910,1120,1190,2373,2275,2625,1890,1470,1132,1102.5,1050,1043,882,1109.5,1309,1634.5,1662.5,1771,1701,1337,980,770,0
Exchamsiks River Park,north,0,0,0,0,2156,4641,0,6576.5,5971,0,0,0,0,0,0,0,2702,3405.5,5918.5,5110,3969,0,0,0,0,0,0,0,665,3899,6709.5,4875.5,3972.5,717.5,0,0,0,0,0,0,3500,4207,5642,4354,2635.5,0,0,0,0,0,0,0,1956.5,2583,15435,5390,4595.5,0,0,0,0,0,0,0,2145.5,3136,19096,6251,6433,1487.5,0,0,0,0,0,0,2740,9204,14146,7370,10647,0,0,0,0,0,0,0,3038,6348.5,12615.5,9308.5,6633.5,0,0,0,0,0,0,0,3727.5,6015,11985.5,11328,6946.5,0,0,0,0,0,0,0,3427.5,11767,11008,12020.5,5957,0,0,0
Fillongley Park,west,1932,2058,2726.5,2765,2516.5,3479,6002.5,5593,3297,2989,2114,2065,2110.5,2089.5,2950.5,0,2579.5,444.5,5008.5,5313,3048.5,7605.5,2072,2670.5,2121,2324,2621.5,2100,2621.5,2898,4921,5894,2334.5,2257.5,822.5,493.5,1120,1137.5,3195.5,2320.5,2331,3136,4886,11312,2138.5,2401,1935.5,1613.5,1445.5,1396.5,3073,1949.5,2257.5,2299.5,7133,4875.5,3111.5,2047.5,1869,1767.5,1848,4620,7885.5,2632,3255,3269,4448.5,4592,1162,2236.5,2065,2390.5,2474.5,5778.5,1830.5,1907.5,3325,3335.5,3671.5,3962,4508,1893.5,1935.5,1746.5,1981,2397.5,2572.5,2362.5,3486,3258.5,3843,3038,4256,3577,2236.5,1767.5,3178,2376.5,5379.5,3853.5,2240,2947,5855.5,5561.5,3836,3031,2674,3094,2366,1925,4910.5,3356.5,3059,3839.5,4539.5,5453,3584,2852.5,2961,0
Finger-Tatuk Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.5,343,455,735,0,0,0,0,0,0,0,0,70,210,350,665,0,0,0,0,0,0,0,0,0,277,403,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fintry Park,ok,0,0,0,8246,11105.5,9369.5,10003,11966.5,6629,6422.5,0,0,0,0,0,7976.5,11014.5,8029,11770.5,11112.5,5502,7171.5,0,0,0,0,0,4893,7567,4508,11298,8148,6391,7140,0,0,0,0,0,2593.5,5834.5,5631.5,11830,10409,7427,6909,0,0,0,0,0,4704,9576,5460,9534,10475.5,4501,0,0,0,0,0,0,6979,9254,9317,14000,15620.5,8207.5,2324,0,0,0,0,0,7661.5,10832.5,8515.5,18368,10570,10115,1981,0,0,0,0,0,2968,10248,10815,20352.5,12222,11203.5,1729,0,0,0,0,0,5936,12120.5,11511.5,17017,11606,10164,2156,0,0,0,0,0,5337.5,10720.5,12372.5,18634,21017.5,10083.5,2502.5,0,0
Fossli Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Point Park,south,833,0,0,178,1488,979,2620,2514,1548,685,553,445,627,747,1633,0,1158,2429,4501,4777,2033,1274,1162,1918,1151,1550,1687,0,1500,1050,1470,2011,5645.5,456,82,160,46,390,1687,548,1431,2361,6017,7690,5718,739,470,740,1490,1493,2259,1159,1654,1947,1108,730,311,87,385,479,447,523,389,955,1149,1202,2810,2996,4825,807,209,231,133,238,552,593,1143,1837,3312,1719,1146,702,502,642,592,521,471,1344,1581,1849,3429,3590,2018,532,376,451,391,427,471,964,1291,1629,3184,2768,2663,680,362,441,371,395,498,967,1338,1772,3308,2692,1942,638,0,0
French Beach Park,west,4021.5,5824,7469,9275,12136.5,11476.5,17584,17906,10829,7294,4144,1085,2317,4784.5,6062,7985.5,10783.5,19694.5,23201.5,21934.5,12463.5,7192.5,3794,4014.5,3314.5,5057.5,7213.5,8484,9887.5,11623.5,16870,21556.5,13884.5,7031.5,5092.5,2446.5,2814,5761,8491,9786,10864,13107.5,18242,17570,15319.5,7336,4424,4935,1781.5,3258.5,0,0,11459,13790,18021.5,6902,14028,9072,21458.5,3248,15333.5,7763,6405,11417,18515,18084.5,25826.5,21140,14161,9747.5,6307,4844,9537.5,8176,13338.5,15435,14714,14378,18266.5,23257.5,15592.5,10090.5,7416.5,5278,7462,7525,9457,15015,35735,14770,21871.5,23933,16978.5,25490.5,11791.5,5337.5,8869,7623,10717,11511.5,15665.5,13380.5,22673,21710.5,17545.5,10983,7724.5,6261.5,7780.5,2103.5,17710,26582.5,14927.5,16737,22596,22788.5,16499,8095.5,4413.5,0
