park,year,BCpop,month,avgtemp,avgprecip,visitortotal,visitorcorrected
E.C. Manning Park,2021,5214805,nov,2.7,16.44,22288,4.273985317
E.C. Manning Park,2021,5214805,dec,-5.4,8.567741935,37019.5,7.098923162
E.C. Manning Park,2022,5286528,jan,-1,6.593548387,61673.5,11.6661635
E.C. Manning Park,2022,5286528,feb,-0.6,4.435714286,89575.5,16.94410774
E.C. Manning Park,2022,5286528,mar,3.1,2.851612903,82166,15.54252621
E.C. Manning Park,2022,5286528,apr,3.8,3.22,54348,10.28047142
E.C. Manning Park,2022,5286528,may,7.9,2.225806452,109434.5,20.70063755
E.C. Manning Park,2022,5286528,jun,13.2,2.1,149593.5,28.29711675
E.C. Manning Park,2022,5286528,jul,17.7,1.296774194,642659.5,121.5655152
E.C. Manning Park,2022,5286528,aug,18.9,0.335483871,202723.5,38.3471912
E.C. Manning Park,2022,5286528,sep,,,,
E.C. Manning Park,2022,5286528,oct,,,,
E.C. Manning Park,2022,5286528,nov,,,,
E.C. Manning Park,2022,5286528,dec,,,,
