park,latitude,longitude
sx̌ʷəx̌ʷnitkʷ (Okanagan Falls) Park,49.340774,-119.580983
Syringa Park,49.341783,-117.874012
Ta Ch'ila Park [a.k.a. Boya Lake Park],59.368268,-129.106906
Tantalus Park,49.829922,-123.304387
Tatlatui Park,56.97977,-127.365922
Taylor Arm Park,49.275567,-125.044839
Teakerne Arm Park,50.201235,-124.843507
Ten Mile Lake Park,53.070389,-122.445381
Tetrahedron Park,49.59279,-123.602493
Top of the World Park,49.849149,-115.398208
Tribune Bay Park,49.528494,-124.644989
Ts'il?os Park,51.187451,-124.009464
Tudyah Lake Park,55.062382,-123.033737
Tunkwa Park,50.617274,-120.883198
Tweedsmuir Park,52.592306,-126.077993
Tyhee Lake Park,54.706009,-127.037826
Valhalla Park,49.877853,-117.571272
Vaseux Lake Park,49.297884,-119.529898
Wakes Cove Park,49.123459,-123.701987
Wallace Island Marine Park,48.942073,-123.550833
Walloper Lake Park,50.479805,-120.537109
Walsh Cove Park,50.273209,-124.794443
Wasa Lake Park,49.792066,-115.739281
Weewanie Hot Springs Park,53.698625,-128.784801
Wells Gray Park,52.38214,-120.117401
West Lake Park,53.73448,-122.862947
West Shawnigan Lake Park,48.641258,-123.650498
Whiskers Point Park,54.905454,-122.936626
White Lake Park,50.890994,-119.262844
Whiteswan Lake Park,50.120438,-115.545638
Yaaguun Suu Conservancy,53.346741,-132.655960
Yahk Park,49.079807,-116.096941
Yard Creek Park,50.899031,-118.815257
